l1,l2,alignment,wordform_l1,wordform_l2,neighbour_overlap,editdistance,k,n,Concept_ID,zipf_freq_l1,zipf_freq_l2,passes_concept_filter,passes_wiki_filter,pos_gloss,semantic_domain,nel_pos,global_semantic_density_l1,global_semantic_density_l2,local_semantic_density_l1,local_semantic_density_l2
en,av,0.1912358072749662,raise,борхизе,55.0,7,100,395,heben::V,4.74,,True,False,Verbs,Motion,V,0.2110923459435853,0.7281657054136245,83.38147664771621,287.6254536383817
en,av,0.1919147325233227,show,бихьизабизе,41.0,11,100,395,zeigen::V,5.64,,True,False,Verbs,Sense perception,V,0.2066552870685616,0.6498234844363723,81.62883839208186,256.680276352367
en,av,0.192744786676062,beautiful,берцинаб,32.0,9,100,395,schön::A,5.18,,True,False,Adjectives,Emotions and values,A,0.2187816987860928,0.7033915911584662,86.41877102050665,277.83967850759416
en,av,0.1927522151851441,pay,кьезе,55.0,5,100,395,zahlen::V,5.35,,True,False,Verbs,Possession,V,0.2036443014624564,0.7496713078694256,80.43949907767035,296.1201666084231
en,av,0.1932404229854504,thou,дуца,40.0,4,100,395,du::PRN,4.36,,True,False,Pronouns,Kinship,PRN,0.1974699272223439,0.6285763202224399,78.00062125282584,248.2876464878638
en,av,0.1940806161748751,help,кумек,57.0,5,100,395,Hilfe::N,5.71,,True,False,Nouns,Social and political relations,N,0.2378115352801757,0.6815653904662511,93.9355564356694,269.2183292341692
en,av,0.1944467498850745,item,жо,42.0,4,100,395,Gegenstand::N,4.56,,True,False,Nouns,The physical world,N,0.1753851484378587,0.6695199664839675,69.27713363295422,264.4603867611672
en,av,0.1952477534673367,guide,бачине,34.0,6,100,395,führen::V,4.77,,True,False,Verbs,Motion,V,0.1551893664499834,0.7480059814263901,61.29979974774346,295.46236266342413
en,av,0.1963208625473344,lay,лъезе,48.0,5,100,395,legen::V,4.68,,True,False,Verbs,Basic actions and technology,V,0.1999465896878115,0.6527594805021685,78.97890292668555,257.8399947983565
en,av,0.2000089500086842,belly,чехь,42.0,5,100,395,Bauch::N,4.06,,True,False,Nouns,The body,N,0.2175898694511596,0.7088991292199245,85.94799843320804,280.01515604187017
en,av,0.200365371210448,fire,цӏа,31.0,4,100,395,Feuer::N,5.28,,True,False,Nouns,The physical world,N,0.2050579622244085,0.6945853727090094,80.99789507864136,274.3612222200586
en,av,0.2007715745651356,hang,базе,42.0,4,100,395,hängen::V,4.6,,True,False,Verbs,Basic actions and technology,V,0.2080407423400205,0.6780550211011203,82.17609322430813,267.8317333349425
en,av,0.200909620105189,war,рагъ,21.0,4,100,395,Krieg::N,5.5,,True,False,Nouns,Social and political relations,N,0.1829029256126278,0.6369198570762592,72.24665561698802,251.5833435451224
en,av,0.2011203529568845,wife,чӏужу,36.0,5,100,395,Ehefrau::N,5.21,,True,False,Nouns,Kinship,N,0.2010815195600183,0.697738655253181,79.42720022620725,275.6067688250065
en,av,0.2026215532033076,learn,цӏализе,40.0,7,100,395,lernen::V,5.16,,True,False,Verbs,Cognition,V,0.2300051728575293,0.7641268648973129,90.85204327872408,301.83011163443865
en,av,0.2026780323706772,message,хабар,39.0,7,100,395,Nachricht::N,5.06,,True,False,Nouns,Basic actions and technology,N,0.1933277046173324,0.7221850133855949,76.36444332384629,285.26308028731006
en,av,0.2031926024805692,voice,гьаракь,27.0,7,100,395,Stimme::N,5.08,,True,False,Nouns,Speech and language,N,0.1722742542987903,0.6689484550687551,68.04833044802217,264.2346397521584
en,av,0.2043314380178779,wait,чӏезе,47.0,5,100,395,warten::V,5.37,,True,False,Verbs,Motion,V,0.2590732663392009,0.7530976721527732,102.33394020398435,297.4735805003454
en,av,0.2047010221980185,food,квен,35.0,4,100,395,Nahrung::N,5.42,,True,False,Nouns,Food and drink,N,0.2002109341670128,0.7292605587633826,79.08331899597005,288.05792071153616
en,av,0.2055850391291858,speech,калам,35.0,6,100,395,Rede::N,4.81,,True,False,Nouns,Speech and language,N,0.1697621415093889,0.7108097226187648,67.05604589620864,280.76984043441206
en,av,0.2078075941006864,rich,бечедаб,33.0,7,100,395,reich::A,4.9,,True,False,Adjectives,Possession,A,0.1740581782351384,0.7600756761769358,68.75298040287969,300.22989208988974
